year,time,zone,location,existingresource,nameplateMWh,solarMWh,windMWh,batteriesMWh,natgasMWh,LMP8760,gas8760
2021,292,WCO,Carousel,wind,150,0,78.975,,,13.5402,3.062
2021,293,WCO,Carousel,wind,150,0,78.975,,,10.2942,3.062
2021,294,WCO,Carousel,wind,150,0,78.975,,,7.7179,3.062
2021,295,WCO,Carousel,wind,150,0,96.525,,,8.7032,3.062
2021,296,WCO,Carousel,wind,150,26.25,96.525,,,7.3118,3.062
2021,297,WCO,Carousel,wind,150,31.5,96.525,,,2.2174,3.062
2021,298,WCO,Carousel,wind,150,42,96.525,,,-1.4316,3.062
2021,299,WCO,Carousel,wind,150,47.25,96.525,,,4.7226,3.062
2021,300,WCO,Carousel,wind,150,52.5,96.525,,,7.6974,3.062
2021,301,WCO,Carousel,wind,150,47.67,122.85,,,12.5356,3.062
2021,302,WCO,Carousel,wind,150,52.5,122.85,,,13.3828,3.062
2021,303,WCO,Carousel,wind,150,47.25,122.85,,,-4.4247,3.062
2021,304,WCO,Carousel,wind,150,42,122.85,,,15.0153,3.062
2021,305,WCO,Carousel,wind,150,31.5,122.85,,,21.1009,3.062
2021,306,WCO,Carousel,wind,150,31.5,122.85,,,16.0409,3.062
2021,307,WCO,Carousel,wind,150,26.25,52.65,,,12.7911,3.062
2021,308,WCO,Carousel,wind,150,26.25,52.65,,,10.2249,3.062
2021,309,WCO,Carousel,wind,150,0,52.65,,,10.1958,3.062
2021,310,WCO,Carousel,wind,150,0,52.65,,,11.7334,3.062
2021,311,WCO,Carousel,wind,150,0,52.65,,,13.8172,3.062
2021,312,WCO,Carousel,wind,150,0,52.65,,,128.5829,3.062
2021,313,WCO,Carousel,wind,150,0,78.975,,,16.9001,3.062
2021,314,WCO,Carousel,wind,150,0,78.975,,,15.6896,3.062
2021,315,WCO,Carousel,wind,150,0,78.975,,,17.3346,3.062
2021,316,WCO,Carousel,wind,150,0,78.975,,,16.8597,3.062
2021,317,WCO,Carousel,wind,150,0,78.975,,,16.0748,3.062
2021,318,WCO,Carousel,wind,150,0,78.975,,,14.8434,3.062
2021,319,WCO,Carousel,wind,150,0,96.525,,,14.8631,3.062
2021,320,WCO,Carousel,wind,150,26.25,96.525,,,16.3014,3.062
2021,321,WCO,Carousel,wind,150,31.5,96.525,,,16.1312,3.062
2021,322,WCO,Carousel,wind,150,42,96.525,,,15.8215,3.062
2021,323,WCO,Carousel,wind,150,47.25,96.525,,,16.2569,3.062
2021,324,WCO,Carousel,wind,150,52.5,96.525,,,47.6569,3.062
2021,325,WCO,Carousel,wind,150,47.67,122.85,,,55.0593,3.062
2021,326,WCO,Carousel,wind,150,52.5,122.85,,,36.205,3.062
2021,327,WCO,Carousel,wind,150,47.25,122.85,,,18.2285,3.062
2021,328,WCO,Carousel,wind,150,42,122.85,,,19.9896,3.062
2021,329,WCO,Carousel,wind,150,31.5,122.85,,,69.7056,3.062
2021,330,WCO,Carousel,wind,150,31.5,122.85,,,32.8248,3.062
2021,331,WCO,Carousel,wind,150,26.25,52.65,,,15.8443,3.062
2021,332,WCO,Carousel,wind,150,26.25,52.65,,,14.4788,3.062
2021,333,WCO,Carousel,wind,150,0,52.65,,,12.9332,3.062
2021,334,WCO,Carousel,wind,150,0,52.65,,,13.4979,3.062
2021,335,WCO,Carousel,wind,150,0,52.65,,,13.337,3.062
2021,336,WCO,Carousel,wind,150,0,52.65,,,17.2517,3.062
2021,337,WCO,Carousel,wind,150,0,78.975,,,3.4381,3.062
2021,338,WCO,Carousel,wind,150,0,78.975,,,7.4718,3.062
2021,339,WCO,Carousel,wind,150,0,78.975,,,5.1188,3.062
2021,340,WCO,Carousel,wind,150,0,78.975,,,8.1672,3.062
2021,341,WCO,Carousel,wind,150,0,78.975,,,-4.7989,3.062
2021,342,WCO,Carousel,wind,150,0,78.975,,,-6.1557,3.062
2021,343,WCO,Carousel,wind,150,0,96.525,,,-0.1752,3.062
2021,344,WCO,Carousel,wind,150,26.25,96.525,,,-1.0786,3.062
2021,345,WCO,Carousel,wind,150,31.5,96.525,,,6.3014,3.062
2021,346,WCO,Carousel,wind,150,42,96.525,,,9.6353,3.062
2021,347,WCO,Carousel,wind,150,47.25,96.525,,,8.5337,3.062
2021,348,WCO,Carousel,wind,150,52.5,96.525,,,11.3501,3.062
2021,349,WCO,Carousel,wind,150,47.67,122.85,,,11.7107,3.062
2021,350,WCO,Carousel,wind,150,52.5,122.85,,,3.1943,3.062
2021,351,WCO,Carousel,wind,150,47.25,122.85,,,-0.5923,3.062
2021,352,WCO,Carousel,wind,150,42,122.85,,,-5.7417,3.062
2021,353,WCO,Carousel,wind,150,31.5,122.85,,,1.9853,3.062
2021,354,WCO,Carousel,wind,150,31.5,122.85,,,1.993,3.062
2021,355,WCO,Carousel,wind,150,26.25,52.65,,,12.1919,3.062
2021,356,WCO,Carousel,wind,150,26.25,52.65,,,13.4271,3.062
2021,357,WCO,Carousel,wind,150,0,52.65,,,12.5968,3.062
2021,358,WCO,Carousel,wind,150,0,52.65,,,12.6799,3.062
2021,359,WCO,Carousel,wind,150,0,52.65,,,13.0105,3.062
2021,360,WCO,Carousel,wind,150,0,52.65,,,13.4693,3.062
2021,361,WCO,Carousel,wind,150,0,78.975,,,5.1689,3.062
2021,362,WCO,Carousel,wind,150,0,78.975,,,3.8881,3.062
2021,363,WCO,Carousel,wind,150,0,78.975,,,2.8522,3.062
2021,364,WCO,Carousel,wind,150,0,78.975,,,5.5629,3.062
2021,365,WCO,Carousel,wind,150,0,78.975,,,6.0343,3.062
2021,366,WCO,Carousel,wind,150,0,78.975,,,1.745,3.062
2021,367,WCO,Carousel,wind,150,0,96.525,,,-4.9585,3.062
2021,368,WCO,Carousel,wind,150,26.25,96.525,,,-7.9362,3.062
